Yil,Ay,Gun,Saat,Basel
Y2018,Ocak,D26,T1400,0.5
Y2018,Ocak,D26,T1500,0.7
Y2018,Ocak,D26,T1600,0.6
Y2018,Ocak,D26,T1700,0.4
Y2018,Ocak,D26,T1800,0.3
Y2018,Ocak,D26,T1900,0.4
Y2018,Ocak,D26,T2000,0.3
Y2018,Ocak,D26,T2100,0.2
Y2018,Ocak,D26,T2200,0.1
Y2018,Ocak,D26,T2300,0.1
Y2018,Ocak,D27,T0000,0.2
Y2018,Ocak,D27,T0100,0.2
Y2018,Ocak,D27,T0200,0.2
Y2018,Ocak,D27,T0300,0.3
Y2018,Ocak,D27,T0400,0.3
Y2018,Ocak,D27,T0500,0.2
Y2018,Ocak,D27,T0600,0.1
Y2018,Ocak,D27,T0700,0.0
Y2018,Ocak,D27,T0800,0.0
Y2018,Ocak,D27,T0900,0.0
Y2018,Ocak,D27,T1000,0.0
Y2018,Ocak,D27,T1100,0.0
Y2018,Ocak,D27,T1200,0.0
Y2018,Ocak,D27,T1300,0.0
Y2018,Ocak,D27,T1400,0.0
Y2018,Ocak,D27,T1500,0.0
Y2018,Ocak,D27,T1600,0.0
Y2018,Ocak,D27,T1700,0.0
Y2018,Ocak,D27,T1800,0.0
Y2018,Ocak,D27,T1900,0.0
Y2018,Ocak,D27,T2000,0.0
Y2018,Ocak,D27,T2100,0.0
Y2018,Ocak,D27,T2200,0.0
Y2018,Ocak,D27,T2300,0.0
Y2018,Ocak,D28,T0000,0.0
Y2018,Ocak,D28,T0100,0.0
Y2018,Ocak,D28,T0200,0.0
Y2018,Ocak,D28,T0300,0.0
Y2018,Ocak,D28,T0400,0.0
Y2018,Ocak,D28,T0500,0.0
Y2018,Ocak,D28,T0600,0.0
Y2018,Ocak,D28,T0700,0.0
Y2018,Ocak,D28,T0800,0.0
Y2018,Ocak,D28,T0900,0.0
Y2018,Ocak,D28,T1000,0.0
Y2018,Ocak,D28,T1100,0.0
