Yil,Ay,Gun,Saat,Bulut
Y2023,Ocak,D27,T1800,61.0
Y2023,Ocak,D27,T1900,54.0
Y2023,Ocak,D27,T2000,59.0
Y2023,Ocak,D27,T2100,56.0
Y2023,Ocak,D27,T2200,90.0
Y2023,Ocak,D27,T2300,91.0
Y2023,Ocak,D28,T0000,90.0
Y2023,Ocak,D28,T0100,64.0
Y2023,Ocak,D28,T0200,34.0
Y2023,Ocak,D28,T0300,32.0
Y2023,Ocak,D28,T0400,66.0
Y2023,Ocak,D28,T0500,84.0
Y2023,Ocak,D28,T0600,89.0
Y2023,Ocak,D28,T0700,92.0
Y2023,Ocak,D28,T0800,83.0
Y2023,Ocak,D28,T0900,60.0
Y2023,Ocak,D28,T1000,86.0
