Yil,Ay,Gun,Saat,Sicaklik
Y2023,Ocak,D20,T1800,-1.4697546
Y2023,Ocak,D20,T1900,-1.5697545
Y2023,Ocak,D20,T2000,-1.1497546
Y2023,Ocak,D20,T2100,-2.2697544
Y2023,Ocak,D20,T2200,-1.7497545
Y2023,Ocak,D20,T2300,-1.5197545
Y2023,Ocak,D21,T0000,-1.8297547
Y2023,Ocak,D21,T0100,-2.1997547
Y2023,Ocak,D21,T0200,-2.9297547
Y2023,Ocak,D21,T0300,-2.6897545
Y2023,Ocak,D21,T0400,-2.9697547
Y2023,Ocak,D21,T0500,-3.4897547
Y2023,Ocak,D21,T0600,-3.9397545
Y2023,Ocak,D21,T0700,-4.519755
Y2023,Ocak,D21,T0800,-3.8997545
Y2023,Ocak,D21,T0900,-2.2597547
Y2023,Ocak,D21,T1000,-0.7897546
Y2023,Ocak,D21,T1100,0.2602454
Y2023,Ocak,D21,T1200,1.0302454
Y2023,Ocak,D21,T1300,1.0702454
Y2023,Ocak,D21,T1400,0.5802454
Y2023,Ocak,D21,T1500,0.010245383
Y2023,Ocak,D21,T1600,-0.5897546
Y2023,Ocak,D21,T1700,-0.5697546
Y2023,Ocak,D21,T1800,-0.46975458
Y2023,Ocak,D21,T1900,-0.3897546
Y2023,Ocak,D21,T2000,-0.3797546
Y2023,Ocak,D21,T2100,-0.49975455
Y2023,Ocak,D21,T2200,-0.61975455
Y2023,Ocak,D21,T2300,-0.65975463
Y2023,Ocak,D22,T0000,-0.7197546
Y2023,Ocak,D22,T0100,-0.6997546
Y2023,Ocak,D22,T0200,-0.7097546
Y2023,Ocak,D22,T0300,-0.72975457
Y2023,Ocak,D22,T0400,-0.60975456
Y2023,Ocak,D22,T0500,-0.39975458
Y2023,Ocak,D22,T0600,-0.29975462
Y2023,Ocak,D22,T0700,-0.23975462
Y2023,Ocak,D22,T0800,-0.1397546
Y2023,Ocak,D22,T0900,0.070245415
Y2023,Ocak,D22,T1000,0.6002454
Y2023,Ocak,D22,T1100,0.9902454
Y2023,Ocak,D22,T1200,1.3302454
Y2023,Ocak,D22,T1300,1.5702454
Y2023,Ocak,D22,T1400,1.6702454
Y2023,Ocak,D22,T1500,1.5002453
Y2023,Ocak,D22,T1600,1.4902453
Y2023,Ocak,D22,T1700,1.7402455
Y2023,Ocak,D22,T1800,1.5202454
Y2023,Ocak,D22,T1900,1.2202454
Y2023,Ocak,D22,T2000,0.7402454
