Yil,Ay,Gun,Saat,Ruzgar Hizi,Ruzgar Yonu
Y2023,Ocak,D19,T2100,8.311245,355.03027
Y2023,Ocak,D19,T2200,6.12,360.0
Y2023,Ocak,D19,T2300,5.3517847,19.653809
Y2023,Ocak,D20,T0000,6.379216,16.389526
Y2023,Ocak,D20,T0100,9.114471,9.090271
Y2023,Ocak,D20,T0200,11.928989,5.194412
Y2023,Ocak,D20,T0300,15.39184,10.7842865
Y2023,Ocak,D20,T0400,17.193533,19.57312
Y2023,Ocak,D20,T0500,18.58451,21.595291
Y2023,Ocak,D20,T0600,20.268991,19.722275
Y2023,Ocak,D20,T0700,21.068459,16.886795
Y2023,Ocak,D20,T0800,22.101183,12.225113
Y2023,Ocak,D20,T0900,24.881702,3.3177795
Y2023,Ocak,D20,T1000,18.374111,34.624146
Y2023,Ocak,D20,T1100,16.676977,32.660904
Y2023,Ocak,D20,T1200,13.661038,18.434952
Y2023,Ocak,D20,T1300,11.901798,3.468216
Y2023,Ocak,D20,T1400,10.805999,358.09085
Y2023,Ocak,D20,T1500,13.493999,350.789
Y2023,Ocak,D20,T1600,17.654686,343.41266
Y2023,Ocak,D20,T1700,21.068459,340.0169
Y2023,Ocak,D20,T1800,22.59699,337.52057
Y2023,Ocak,D20,T1900,23.795427,342.38742
Y2023,Ocak,D20,T2000,25.420181,347.73523
Y2023,Ocak,D20,T2100,26.220753,351.31366
Y2023,Ocak,D20,T2200,19.443333,1.0609131
Y2023,Ocak,D20,T2300,17.698677,355.33313
Y2023,Ocak,D21,T0000,15.893093,346.90814
Y2023,Ocak,D21,T0100,15.745627,349.46082
Y2023,Ocak,D21,T0200,17.373497,5.9468536
Y2023,Ocak,D21,T0300,20.771093,25.676819
Y2023,Ocak,D21,T0400,22.691423,41.7845
Y2023,Ocak,D21,T0500,27.257967,56.30993
Y2023,Ocak,D21,T0600,33.58628,59.036232
Y2023,Ocak,D21,T0700,40.813583,59.816315
Y2023,Ocak,D21,T0800,48.009747,61.320946
Y2023,Ocak,D21,T0900,55.911373,61.12455
Y2023,Ocak,D21,T1000,59.951614,58.505188
Y2023,Ocak,D21,T1100,63.434612,62.998688
Y2023,Ocak,D21,T1200,66.01363,64.13365
Y2023,Ocak,D21,T1300,66.68556,61.63639
Y2023,Ocak,D21,T1400,66.57762,60.524117
Y2023,Ocak,D21,T1500,65.382385,59.198547
Y2023,Ocak,D21,T1600,64.71995,57.72435
Y2023,Ocak,D21,T1700,64.00513,56.9356
Y2023,Ocak,D21,T1800,62.909416,55.491463
Y2023,Ocak,D21,T1900,61.141735,54.344658
Y2023,Ocak,D21,T2000,61.732388,51.392365
Y2023,Ocak,D21,T2100,63.499958,48.447372
Y2023,Ocak,D21,T2200,58.53848,50.239548
Y2023,Ocak,D21,T2300,50.412857,46.157333
Y2023,Ocak,D22,T0000,47.23551,37.568573
Y2023,Ocak,D22,T0100,46.745968,32.098907
Y2023,Ocak,D22,T0200,45.36571,35.96051
Y2023,Ocak,D22,T0300,43.274933,44.999985
Y2023,Ocak,D22,T0400,41.2636,54.22988
Y2023,Ocak,D22,T0500,38.48129,62.715782
