location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Cloud Cover Total
unit,%
level,sfc
resolution,hourly
aggregation,None
timestamp,Basel Cloud Cover Total
20230218T1400,67.0
20230218T1500,74.0
20230218T1600,54.0
20230218T1700,55.0
20230218T1800,49.0
20230218T1900,55.0
20230218T2000,65.0
20230218T2100,80.0
20230218T2200,73.0
20230218T2300,73.0
20230219T0000,78.0
20230219T0100,69.0
20230219T0200,62.0
20230219T0300,67.0
20230219T0400,84.0
20230219T0500,92.0
20230219T0600,100.0
20230219T0700,100.0
20230219T0800,100.0
20230219T0900,90.0
20230219T1000,97.0
20230219T1100,99.0
20230219T1200,100.0
20230219T1300,91.0
20230219T1400,87.0
20230219T1500,90.0
20230219T1600,84.0
20230219T1700,81.0
20230219T1800,74.0
20230219T1900,76.0
20230219T2000,65.0
20230219T2100,54.0
20230219T2200,42.0
20230219T2300,32.0
20230220T0000,30.0
20230220T0100,41.0
20230220T0200,28.0
20230220T0300,28.0
20230220T0400,22.0
20230220T0500,22.0
20230220T0600,13.8
20230220T0700,40.0
20230220T0800,32.0
20230220T0900,17.400002
20230220T1000,18.300001
20230220T1100,15.000001
20230220T1200,4.5
20230220T1300,6.6000004
20230220T1400,10.8
20230220T1500,9.3
20230220T1600,10.8
20230220T1700,7.5000005
20230220T1800,11.1
20230220T1900,10.8
20230220T2000,5.4
